region,2012.0,2013.0,2014,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023
Белгородская область,3.7,4.0,4.0,4.1,4.0,3.9,4.0,3.9,4.9,4.2,3.7,3.6
Брянская область,5.1,5.2,5.0,4.6,4.6,4.4,3.9,3.8,4.0,3.4,3.2,2.6
Владимирская область,4.4,3.8,4.3,5.6,5.6,4.8,4.7,4.0,5.6,3.9,2.6,2.0
Воронежская область,5.5,4.7,4.5,4.5,4.5,4.3,3.7,3.5,4.3,3.8,3.5,3.2
Ивановская область,6.3,5.2,4.3,5.6,5.6,4.7,4.2,3.8,5.4,4.5,3.2,3.1
Калужская область,4.3,4.5,4.2,4.3,4.2,4.0,3.9,3.7,4.7,4.0,3.9,2.4
Костромская область,4.8,4.9,4.3,5.3,5.5,5.3,4.5,4.1,5.5,4.4,3.3,3.1
Курская область,5.1,4.6,3.9,4.2,4.3,4.1,4.0,4.0,4.9,4.0,2.9,2.4
Липецкая область,3.6,3.7,3.7,4.1,4.0,3.9,3.8,3.7,4.3,4.2,3.7,2.9
Московская область,2.9,2.8,2.7,3.3,3.3,3.2,2.7,2.7,3.6,3.4,3.1,2.6
Орловская область,5.3,5.8,5.1,6.2,6.4,6.5,4.9,5.4,6.1,4.7,4.0,3.3
Рязанская область,4.6,4.7,4.4,4.7,4.4,4.1,4.2,4.0,5.4,4.0,2.9,2.9
Смоленская область,5.7,5.2,5.1,6.2,6.1,5.7,5.2,5.3,5.3,5.0,3.4,3.0
Тамбовская область,4.9,4.6,4.3,4.6,4.5,4.4,4.1,3.9,4.6,4.0,3.3,3.1
Тверская область,5.0,5.3,5.3,5.6,5.8,4.5,4.1,4.0,4.4,3.9,3.7,3.2
Тульская область,4.6,4.2,4.1,4.1,4.1,3.9,3.9,3.8,4.4,3.8,3.6,2.7
Ярославская область,3.4,4.5,3.8,5.3,6.7,6.6,5.5,5.4,7.3,5.9,5.0,3.8
Москва,0.8,1.7,1.5,1.8,1.8,1.4,1.2,1.4,2.6,2.6,2.3,1.8
Республика Карелия,7.0,8.2,8.1,8.8,9.2,8.6,8.7,7.4,8.7,6.6,5.8,5.3
Республика Коми,6.4,7.1,6.0,7.0,8.7,7.8,7.3,6.8,7.8,7.0,6.6,4.7
Ненецкий АО,6.9,7.1,5.3,7.9,8.5,8.0,8.1,7.9,8.8,7.0,7.3,6.3
Архангельская область,5.3,6.0,7.3,6.8,7.1,6.4,6.3,6.2,7.4,6.6,5.4,5.5
Вологодская область,5.8,6.1,5.6,6.8,6.6,5.3,5.1,4.5,6.1,4.7,3.4,3.1
Калининградская область,7.4,5.6,5.4,5.7,6.0,5.2,4.7,4.4,5.9,5.0,3.1,3.0
Ленинградская область,3.2,4.3,4.5,5.1,4.6,4.6,4.1,3.9,5.3,3.7,3.4,2.8
Мурманская область,7.7,7.2,6.7,7.8,7.7,7.0,6.8,5.5,7.7,5.8,4.7,3.4
Новгородская область,4.1,4.6,3.7,4.6,4.9,4.7,4.2,3.6,5.8,4.1,3.1,2.3
Псковская область,6.6,7.0,6.5,6.9,6.7,6.5,5.7,5.1,6.4,4.7,4.0,2.9
Санкт-Петербург,1.1,1.5,1.4,2.1,1.6,1.7,1.5,1.4,2.9,2.0,2.0,1.6
Республика Адыгея,8.1,7.9,8.6,8.8,9.0,8.8,8.6,8.2,8.5,8.3,7.1,4.0
Республика Калмыкия,13.1,12.5,10.9,10.7,10.6,10.0,9.7,9.2,9.6,9.0,8.1,6.5
Краснодарский край,5.6,6.1,5.7,6.0,5.8,5.7,5.2,4.8,5.7,5.0,3.5,2.0
Астраханская область,7.9,7.5,7.5,7.5,7.6,7.5,7.5,7.6,7.8,7.7,7.1,4.4
Волгоградская область,6.0,6.6,6.6,7.2,6.8,6.0,5.6,5.3,7.6,4.9,3.5,2.9
Ростовская область,6.0,6.0,5.9,6.1,5.8,5.6,5.1,4.8,5.0,4.0,3.5,3.1
Республика Дагестан,11.7,11.6,10.2,10.8,10.9,12.0,11.6,13.0,15.7,15.1,12.2,11.9
Республика Ингушетия,47.7,43.7,29.8,30.5,30.2,27.0,26.6,26.8,30.0,31.1,30.1,27.9
Кабардино-Балкарская Республика,8.9,10.5,9.5,10.1,10.3,10.5,10.5,10.8,14.8,11.7,10.1,9.1
Карачаево-Черкесская Республика,8.9,9.8,13.0,15.1,14.4,13.5,12.1,11.7,14.8,12.4,9.9,7.4
Республика Северная Осетия-Алания,7.9,8.1,8.6,9.3,9.9,11.8,10.5,12.2,15.5,13.5,12.0,10.1
Чеченская Республика,29.8,26.9,21.5,17.1,15.8,14.0,13.7,13.4,18.5,14.5,11.0,10.7
Ставропольский край,5.4,5.6,5.3,5.6,5.7,5.2,5.0,4.9,6.2,5.2,4.3,3.8
Республика Башкортостан,6.1,5.8,5.3,6.1,5.8,5.6,4.9,4.4,5.9,4.4,3.4,2.3
Республика Марий Эл,6.5,5.2,4.8,5.3,6.0,6.1,5.0,4.6,6.7,5.3,3.6,3.4
Республика Мордовия,4.9,4.4,4.2,4.2,4.2,4.2,4.2,4.2,5.4,4.2,3.6,2.5
Республика Татарстан,4.1,4.0,3.9,4.0,3.8,3.5,3.3,3.3,3.6,2.6,2.3,2.1
Республика Удмуртия,6.0,5.7,5.1,5.0,5.2,4.8,4.8,4.3,6.3,4.5,2.9,2.5
Чувашская Республика,5.9,5.7,5.0,5.0,5.3,5.1,5.0,4.7,6.1,4.8,3.2,2.4
Пермский край,6.3,6.5,5.8,6.3,5.8,6.1,5.4,5.1,5.7,4.6,3.4,2.8
Кировская область,7.1,5.6,5.1,5.3,5.4,5.3,5.1,4.8,5.4,4.9,3.8,3.2
Нижегородская область,5.4,4.3,4.2,4.3,4.3,4.2,4.2,4.1,4.6,4.2,4.1,1.9
Оренбургская область,5.4,4.9,4.4,4.8,4.9,4.6,4.4,4.4,5.9,4.7,3.5,2.6
Пензенская область,4.9,4.8,4.6,4.7,4.6,4.5,4.4,4.3,5.1,4.2,3.7,2.9
Самарская область,3.4,3.2,3.0,3.4,4.1,4.2,3.7,3.9,4.5,3.5,2.7,2.0
Саратовская область,5.4,5.2,4.6,4.7,5.1,4.8,5.0,4.3,5.6,4.5,3.4,2.7
Ульяновская область,5.6,5.5,4.8,4.9,4.6,4.4,3.7,3.8,4.9,4.3,4.2,2.8
Курганская область,8.7,7.5,7.0,7.5,8.4,9.1,8.0,7.8,8.3,7.7,6.4,4.7
Свердловская область,5.8,5.9,6.1,6.5,6.2,5.5,4.8,4.2,5.8,4.1,3.5,2.4
Ханты-Мансийский АО,5.5,4.9,4.6,4.4,4.5,3.3,2.5,2.5,3.0,2.6,2.0,1.8
Ямало-Ненецкий АО,3.4,3.2,3.1,3.6,2.6,3.2,2.1,1.9,2.4,2.1,1.6,1.5
Тюменская область,5.7,5.2,5.5,6.2,5.6,5.0,4.5,4.1,4.8,4.4,4.0,3.1
Челябинская область,6.4,6.0,6.2,7.0,7.1,6.6,5.6,5.1,6.8,4.9,3.1,2.4
Республика Алтай,11.6,11.5,10.4,9.7,12.0,12.0,11.2,11.0,14.0,12.0,9.8,8.9
Республика Тыва,18.4,19.3,19.1,18.6,16.6,18.3,14.8,12.4,18.0,15.1,9.6,6.7
Республика Хакасия,7.9,6.0,6.2,5.8,6.3,4.9,5.2,6.0,8.7,6.4,3.3,2.1
Алтайский край,6.2,8.3,7.2,8.0,8.6,6.9,6.1,5.8,5.9,5.5,3.8,3.4
Красноярский край,5.5,5.7,5.0,6.2,6.1,5.7,4.9,4.5,6.0,3.6,2.7,2.0
Иркутская область,7.8,8.3,8.8,8.2,8.8,8.7,7.6,6.6,7.7,6.0,5.0,3.7
Кемеровская область,7.1,6.0,6.2,7.7,7.9,7.1,6.1,5.5,6.7,5.4,4.1,3.4
Новосибирская область,5.6,5.9,5.1,6.9,7.4,6.0,6.7,6.1,6.7,6.1,4.7,3.4
Омская область,6.9,6.8,6.7,6.8,7.2,7.0,6.8,6.5,8.9,6.5,5.3,3.6
Томская область,8.4,7.6,7.6,7.7,7.2,6.3,6.3,5.5,8.7,6.8,5.4,4.0
Республика Бурятия,7.9,8.0,8.4,9.2,9.6,9.6,9.3,9.2,10.5,9.5,7.4,5.7
Республика Саха (Якутия),8.0,7.4,7.4,7.3,7.2,7.1,6.9,6.9,7.4,6.9,6.6,5.7
Забайкальский край,10.6,10.5,10.0,10.4,10.8,10.7,10.2,9.3,9.8,9.3,8.7,6.9
Камчатский край,5.8,5.7,6.1,4.5,4.1,4.3,4.9,3.8,3.8,3.5,2.9,2.1
Приморский край,6.9,7.1,6.9,6.9,6.0,5.4,5.4,5.2,5.5,4.2,3.3,2.6
Хабаровский край,6.4,5.7,5.9,5.3,5.0,4.9,3.8,3.8,4.0,3.1,2.6,2.1
Амурская область,5.3,6.1,5.6,5.8,5.9,5.9,5.6,5.4,6.0,5.2,4.1,2.4
Магаданская область,3.4,2.9,3.1,4.3,4.4,5.3,5.1,4.6,5.7,4.9,4.1,3.4
Сахалинская область,7.7,7.2,6.5,6.3,6.3,6.0,5.3,5.2,5.5,5.3,4.2,2.8
Еврейская автономная область,8.5,8.3,8.7,7.9,8.2,8.3,7.0,6.2,6.3,5.7,4.9,3.7
Чукотский АО,4.3,3.3,3.2,4.0,3.5,2.9,3.1,3.8,4.4,2.6,1.9,1.7
